lat,lon,NDVI
16.156201569,108.2497135704,0.013443166866884
16.156201569,108.2499964577,0.0143651529193697
16.156201569,108.2502793451,0.0162658301382595
16.1559361917,108.2494306831,0.0115977930413241
16.1559361917,108.2497135704,0.0151369125233856
16.1559361917,108.2499964577,0.014476168678835
16.1559361917,108.2502793451,0.0152877182937303
16.1559361917,108.2505622324,0.0158439627066292
16.1559361917,108.2508451197,0.0177765075735924
16.1559361917,108.251128007,0.0142816174361915
16.1559361917,108.2514108944,0.0144578313253012
16.1556708143,108.2488649084,0.0141472652333741
16.1556708143,108.2491477958,0.0139586823003908
16.1556708143,108.2494306831,0.0132628976059345
16.1556708143,108.2497135704,0.0152267087750958
16.1556708143,108.2499964577,0.0166327223353699
16.1556708143,108.2502793451,0.0153846153846153
16.1556708143,108.2505622324,0.0137497878119164
16.1556708143,108.2508451197,0.0141418712524041
16.1556708143,108.251128007,0.0139171758316361
16.1556708143,108.2514108944,0.0148072793037187
16.1556708143,108.2516937817,0.0141512093364154
16.1556708143,108.251976669,0.0146850371378352
16.1556708143,108.2522595563,0.0141469234702573
16.1556708143,108.2525424437,0.013880987598134
16.155405437,108.2482991338,0.0193653376729048
16.155405437,108.2485820211,0.0212858858203252
16.155405437,108.2488649084,0.0296196385217156
16.155405437,108.2491477958,0.0352112676056338
16.155405437,108.2494306831,0.0292972972972972
16.155405437,108.2497135704,0.0158641803506818
16.155405437,108.2499964577,0.0163235541594211
16.155405437,108.2502793451,0.0165752043901892
16.155405437,108.2505622324,0.015372575325619
16.155405437,108.2508451197,0.0144716991674582
16.155405437,108.251128007,0.0141804376953997
16.155405437,108.2514108944,0.0143908969210174
16.155405437,108.2516937817,0.0136084774121583
16.155405437,108.251976669,0.0144781709430376
16.155405437,108.2522595563,0.0145576707726763
16.155405437,108.2525424437,0.0136786635273012
16.155405437,108.252825331,0.0131976289005704
16.155405437,108.2531082183,0.0127217944425845
16.155405437,108.2533911056,0.0128583356526579
16.155405437,108.253673993,0.0141923856724487
