lat,lon,elevation,NDVI
16.155405437,108.2491477958,0.1997886449098587,0.0352112676056338
16.155405437,108.2494306831,0.0006373227224685,0.0292972972972972
16.1551400596,108.2480162465,4.372262477874756,0.0705917394757744
16.1551400596,108.2482991338,4.895744800567627,0.0724136226582966
16.1551400596,108.2485820211,11.10627937316895,0.0892259971889691
16.1551400596,108.2488649084,17.36017608642578,0.0935068609421417
16.1551400596,108.2491477958,10.54594230651855,0.0954259415797877
16.1551400596,108.2494306831,2.691078662872314,0.0853594459039885
16.1551400596,108.2497135704,0.2096312195062637,0.0491500179754506
16.1548746823,108.2474504718,15.31869029998779,0.1162877376071561
16.1548746823,108.2477333591,20.30138778686523,0.1653191584401661
16.1548746823,108.2480162465,25.65500259399414,0.2271239799511205
16.1548746823,108.2482991338,27.00046348571777,0.2193177526958419
16.1548746823,108.2485820211,31.19558334350586,0.2220385219475903
16.1548746823,108.2488649084,45.78522872924805,0.1762057609737796
16.1548746823,108.2491477958,26.78287506103516,0.1725035590807402
16.1548746823,108.2494306831,16.72803688049316,0.1595150411718459
16.1548746823,108.2497135704,9.238959312438965,0.1041834632267311
16.1548746823,108.2499964577,5.107887744903564,0.0580964153275649
16.1546093049,108.2471675845,27.55660820007324,0.2257551669316375
16.1546093049,108.2474504718,37.36753845214844,0.2586082927218982
16.1546093049,108.2477333591,36.98564529418945,0.3040931104514919
16.1546093049,108.2480162465,40.73250579833984,0.3023219266884061
16.1546093049,108.2482991338,42.79924392700195,0.2939729397293973
16.1546093049,108.2485820211,51.00818252563477,0.3069345481446871
16.1546093049,108.2488649084,60.65544891357422,0.2838058778960801
16.1546093049,108.2491477958,56.39436340332031,0.2888342048600431
16.1546093049,108.2494306831,47.5623664855957,0.2595190380761523
16.1546093049,108.2497135704,33.06528472900391,0.1977091039255459
16.1546093049,108.2499964577,19.14728736877441,0.1501657176850514
16.1546093049,108.2502793451,10.86075401306152,0.1066282420749279
16.1546093049,108.2505622324,4.864180564880371,0.0672729050552459
16.1546093049,108.2508451197,2.154017448425293,0.0576628156630201
16.1546093049,108.251128007,0.0312948152422905,0.0452024693941613
16.1543439276,108.2466018098,43.85710906982422,0.2928676300131365
16.1543439276,108.2468846972,40.81793975830078,0.3051049894047389
16.1543439276,108.2471675845,44.47940444946289,0.3196637121010385
16.1543439276,108.2474504718,48.69233322143555,0.3276977744529643
16.1543439276,108.2477333591,54.83225631713867,0.3330827632864767
16.1543439276,108.2480162465,55.18158340454102,0.3298922119325945
16.1543439276,108.2482991338,57.98908615112305,0.3226676946800308
16.1543439276,108.2485820211,64.52471160888672,0.3148370597124811
16.1543439276,108.2488649084,67.67588806152344,0.3233185908189721
16.1543439276,108.2491477958,73.76716613769531,0.3301307116523293
16.1543439276,108.2494306831,68.00090026855469,0.3173207036535859
16.1543439276,108.2497135704,58.86993408203125,0.2900370678568726
16.1543439276,108.2499964577,44.29823684692383,0.2356812661599937
16.1543439276,108.2502793451,30.13076972961426,0.2176785152563699
16.1543439276,108.2505622324,20.15653610229492,0.1790051572117784
16.1543439276,108.2508451197,11.87483692169189,0.1442728327827872
16.1543439276,108.251128007,10.22109127044678,0.0983073539256
16.1543439276,108.2514108944,5.035620212554932,0.0666802402524687
16.1543439276,108.2516937817,2.680593490600586,0.0491837588949351
16.1543439276,108.251976669,3.71099328994751,0.0425847457627118
16.1543439276,108.2522595563,2.302547454833984,0.0437809895558603
16.1543439276,108.2525424437,1.240569829940796,0.0463332632906072
16.1543439276,108.252825331,1.665103077888489,0.0441052631578947
16.1543439276,108.2531082183,7.515150547027588,0.0372611464968152
16.1543439276,108.2533911056,2.116286277770996,0.0355869993084738
16.1543439276,108.253673993,0.3395083844661713,0.0347177848775292
16.1540785502,108.2460360352,41.22065353393555,0.3282609514482654
16.1540785502,108.2463189225,51.11314392089844,0.3190251275269223
16.1540785502,108.2466018098,60.17373657226562,0.3196291511513033
16.1540785502,108.2468846972,64.19589233398438,0.3278133232969514
16.1540785502,108.2471675845,64.43367767333984,0.3299496202722009
16.1540785502,108.2474504718,65.78138732910156,0.3325878713332588
16.1540785502,108.2477333591,74.46025085449219,0.3431368926658045
16.1540785502,108.2480162465,75.09150695800781,0.3451967806246769
16.1540785502,108.2482991338,73.0731430053711,0.3345099511828764
16.1540785502,108.2485820211,78.52706146240234,0.3281279468899702
16.1540785502,108.2488649084,84.41403198242188,0.3316918485357209
16.1540785502,108.2491477958,89.15642547607422,0.336264548309625
16.1540785502,108.2494306831,82.46788024902344,0.343543740655654
16.1540785502,108.2497135704,73.56205749511719,0.3315351930537594
16.1540785502,108.2499964577,61.74889755249023,0.3066777208320771
16.1540785502,108.2502793451,52.07852172851562,0.3155354449472096
16.1540785502,108.2505622324,45.41194534301758,0.3101573567135036
16.1540785502,108.2508451197,34.3712158203125,0.2629996750081248
16.1540785502,108.251128007,34.29671096801758,0.2226565819665165
16.1540785502,108.2514108944,22.15834617614746,0.183872396987151
16.1540785502,108.2516937817,19.05709266662598,0.1538771670474398
16.1540785502,108.251976669,21.42024230957031,0.1322366055375764
16.1540785502,108.2522595563,20.75063133239746,0.1228976834851987
16.1540785502,108.2525424437,24.1821117401123,0.1077513574237034
16.1540785502,108.252825331,22.08416366577148,0.102105755732335
16.1540785502,108.2531082183,23.88661193847656,0.1132049327975613
16.1540785502,108.2533911056,22.0190486907959,0.1048990016252612
16.1540785502,108.253673993,13.60250854492188,0.0967863360466757
16.1540785502,108.2539568803,9.095710754394531,0.0764349863334634
16.1540785502,108.2542397676,0.8290666341781616,0.0540775162130419
16.1538131729,108.2457531479,42.16851806640625,0.3178953879460316
16.1538131729,108.2460360352,53.94939422607422,0.3278750952018279
16.1538131729,108.2463189225,57.81085968017578,0.3334089191232048
16.1538131729,108.2466018098,66.01856994628906,0.3363084077101927
