_id_x,Location_id,time,precipitation_sum (mm),_id_y,Lat,Lon
652fe077f3c7661538eba085,1,25/09/2023,73.1,652fe06ef3c7661538eae282,16.15620157,108.2497136
652fe077f3c7661538eba086,1,26/09/2023,2.1,652fe06ef3c7661538eae282,16.15620157,108.2497136
652fe077f3c7661538eba087,1,27/09/2023,9.6,652fe06ef3c7661538eae282,16.15620157,108.2497136
652fe077f3c7661538eba088,1,28/09/2023,9.2,652fe06ef3c7661538eae282,16.15620157,108.2497136
652fe077f3c7661538eba089,1,29/09/2023,13.2,652fe06ef3c7661538eae282,16.15620157,108.2497136
652fe077f3c7661538eba08a,1,30/09/2023,4.1,652fe06ef3c7661538eae282,16.15620157,108.2497136
652fe077f3c7661538eba08b,2,25/09/2023,73.1,652fe06ef3c7661538eae283,16.15620157,108.2499965
652fe077f3c7661538eba08c,2,26/09/2023,2.1,652fe06ef3c7661538eae283,16.15620157,108.2499965
652fe077f3c7661538eba08d,2,27/09/2023,9.6,652fe06ef3c7661538eae283,16.15620157,108.2499965
652fe077f3c7661538eba08e,2,28/09/2023,9.2,652fe06ef3c7661538eae283,16.15620157,108.2499965
652fe077f3c7661538eba08f,2,29/09/2023,13.2,652fe06ef3c7661538eae283,16.15620157,108.2499965
652fe077f3c7661538eba090,2,30/09/2023,4.1,652fe06ef3c7661538eae283,16.15620157,108.2499965
652fe077f3c7661538eba091,3,25/09/2023,73.1,652fe06ef3c7661538eae284,16.15620157,108.2502793
652fe077f3c7661538eba092,3,26/09/2023,2.1,652fe06ef3c7661538eae284,16.15620157,108.2502793
652fe077f3c7661538eba093,3,27/09/2023,9.6,652fe06ef3c7661538eae284,16.15620157,108.2502793
652fe077f3c7661538eba094,3,28/09/2023,9.2,652fe06ef3c7661538eae284,16.15620157,108.2502793
652fe077f3c7661538eba095,3,29/09/2023,13.2,652fe06ef3c7661538eae284,16.15620157,108.2502793
652fe077f3c7661538eba096,3,30/09/2023,4.1,652fe06ef3c7661538eae284,16.15620157,108.2502793
652fe077f3c7661538eba097,4,25/09/2023,73.1,652fe06ef3c7661538eae285,16.15593619,108.2494307
652fe077f3c7661538eba098,4,26/09/2023,2.1,652fe06ef3c7661538eae285,16.15593619,108.2494307
652fe077f3c7661538eba099,4,27/09/2023,9.6,652fe06ef3c7661538eae285,16.15593619,108.2494307
652fe077f3c7661538eba09a,4,28/09/2023,9.2,652fe06ef3c7661538eae285,16.15593619,108.2494307
652fe077f3c7661538eba09b,4,29/09/2023,13.2,652fe06ef3c7661538eae285,16.15593619,108.2494307
652fe077f3c7661538eba09c,4,30/09/2023,4.1,652fe06ef3c7661538eae285,16.15593619,108.2494307
652fe077f3c7661538eba09d,5,25/09/2023,73.1,652fe06ef3c7661538eae286,16.15593619,108.2497136
652fe077f3c7661538eba09e,5,26/09/2023,2.1,652fe06ef3c7661538eae286,16.15593619,108.2497136
652fe077f3c7661538eba09f,5,27/09/2023,9.6,652fe06ef3c7661538eae286,16.15593619,108.2497136
652fe077f3c7661538eba0a0,5,28/09/2023,9.2,652fe06ef3c7661538eae286,16.15593619,108.2497136
652fe077f3c7661538eba0a1,5,29/09/2023,13.2,652fe06ef3c7661538eae286,16.15593619,108.2497136
